무기,적,틀,ID,변형,기준,승률,Δpp(틀 기준),빈카드 승률(같은 빛),Δ효과,사용/판,Δ효과÷사용,대역(Δ효과 ±5),은신 켜짐,배치
백우,보스,std,YJ-B03,장부 표식 10,0.472,0.469,-0.3,0.472,-0.3,8.95,-0.03,안,0.00,4
백우,보스,std,YJ-B03,장부 표식 20,0.472,0.456,-1.6,0.472,-1.6,8.95,-0.18,안,0.00,4
백우,보스,std,YJ-B03,장부 표식 30,0.472,0.467,-0.5,0.472,-0.5,8.94,-0.06,안,0.00,4
백우,보스,std,YJ-B06,확인사살 바 5,0.472,0.312,-16.0,0.325,-1.3,5.95,-0.22,안,0.00,4
백우,보스,std,YJ-B06,확인사살 바 10,0.472,0.333,-13.9,0.325,+0.8,5.99,+0.13,안,0.00,4
백우,보스,std,YJ-B06,확인사살 바 20,0.472,0.343,-12.9,0.325,+1.8,6.06,+0.30,안,0.00,4
적설,보스,std,YJ-B03,장부 표식 10,0.456,0.455,-0.1,0.456,-0.1,7.58,-0.01,안,0.00,4
적설,보스,std,YJ-B03,장부 표식 20,0.456,0.455,-0.1,0.456,-0.1,7.58,-0.01,안,0.00,4
적설,보스,std,YJ-B03,장부 표식 30,0.456,0.455,-0.1,0.456,-0.1,7.58,-0.01,안,0.00,4
적설,보스,std,YJ-B06,확인사살 바 5,0.456,0.296,-16.0,0.306,-1.0,4.06,-0.25,안,0.00,4
적설,보스,std,YJ-B06,확인사살 바 10,0.456,0.276,-18.0,0.306,-3.0,4.00,-0.75,안,0.00,4
적설,보스,std,YJ-B06,확인사살 바 20,0.456,0.280,-17.6,0.306,-2.6,3.98,-0.65,안,0.00,4
낙일,보스,std,YJ-B03,장부 표식 10,0.516,0.528,+1.2,0.516,+1.2,11.41,+0.11,안,0.00,4
낙일,보스,std,YJ-B03,장부 표식 20,0.516,0.528,+1.2,0.516,+1.2,11.41,+0.11,안,0.00,4
낙일,보스,std,YJ-B03,장부 표식 30,0.516,0.528,+1.2,0.516,+1.2,11.41,+0.11,안,0.00,4
낙일,보스,std,YJ-B06,확인사살 바 5,0.516,0.037,-47.9,0.037,+0.0,1.86,+0.00,안,0.00,4
낙일,보스,std,YJ-B06,확인사살 바 10,0.516,0.045,-47.1,0.037,+0.8,1.87,+0.43,안,0.00,4
낙일,보스,std,YJ-B06,확인사살 바 20,0.516,0.045,-47.1,0.037,+0.8,1.85,+0.43,안,0.00,4
백우,보스,std,YJ-B05,정조준 3/1/4,0.472,0.327,-14.5,0.325,+0.2,5.94,+0.03,안,0.00,5
백우,보스,std,YJ-B05,정조준 6/1/8,0.472,0.337,-13.5,0.325,+1.2,5.98,+0.20,안,0.00,5
백우,보스,std,YJ-B05,정조준 12/2/16,0.472,0.340,-13.2,0.325,+1.5,6.05,+0.25,안,0.00,5
백우,보스,std,YJ-B08,믿는구석 감 1/1,0.472,0.465,-0.7,0.325,+14.0,6.04,+2.32,위,0.00,5
백우,보스,std,YJ-B08,믿는구석 감 2/1,0.472,0.368,-10.4,0.325,+4.3,6.01,+0.72,안,0.00,5
백우,보스,std,YJ-B08,믿는구석 감 3/2,0.472,0.330,-14.2,0.325,+0.5,6.03,+0.08,안,0.00,5
적설,보스,std,YJ-B05,정조준 3/1/4,0.456,0.324,-13.2,0.306,+1.8,4.12,+0.44,안,0.00,5
적설,보스,std,YJ-B05,정조준 6/1/8,0.456,0.324,-13.2,0.306,+1.8,4.12,+0.44,안,0.00,5
적설,보스,std,YJ-B05,정조준 12/2/16,0.456,0.441,-1.5,0.306,+13.5,4.38,+3.08,위,0.00,5
적설,보스,std,YJ-B08,믿는구석 감 1/1,0.456,0.677,+22.1,0.306,+37.1,4.50,+8.25,위,0.00,5
적설,보스,std,YJ-B08,믿는구석 감 2/1,0.456,0.677,+22.1,0.306,+37.1,4.50,+8.25,위,0.00,5
적설,보스,std,YJ-B08,믿는구석 감 3/2,0.456,0.431,-2.5,0.306,+12.5,3.99,+3.14,위,0.00,5
낙일,보스,std,YJ-B05,정조준 3/1/4,0.516,0.036,-48.0,0.037,-0.1,1.84,-0.05,안,0.00,5
낙일,보스,std,YJ-B05,정조준 6/1/8,0.516,0.036,-48.0,0.037,-0.1,1.84,-0.05,안,0.00,5
낙일,보스,std,YJ-B05,정조준 12/2/16,0.516,0.048,-46.8,0.037,+1.1,1.90,+0.58,안,0.00,5
낙일,보스,std,YJ-B08,믿는구석 감 1/1,0.516,0.163,-35.3,0.037,+12.6,2.40,+5.25,위,0.00,5
낙일,보스,std,YJ-B08,믿는구석 감 2/1,0.516,0.163,-35.3,0.037,+12.6,2.40,+5.25,위,0.00,5
낙일,보스,std,YJ-B08,믿는구석 감 3/2,0.516,0.071,-44.5,0.037,+3.4,1.87,+1.82,안,0.00,5
백우,보스,std,YJ-D06,숨통 표식 10,0.472,0.501,+2.9,0.534,-3.3,8.77,-0.38,안,0.00,6
백우,보스,std,YJ-D06,숨통 표식 20,0.472,0.485,+1.3,0.534,-4.9,8.74,-0.56,안,0.00,6
백우,보스,std,YJ-D06,숨통 표식 40,0.472,0.504,+3.2,0.534,-3.0,8.81,-0.34,안,0.00,6
백우,보스,std,YJ-D07,소문 표식 4,0.472,0.504,+3.2,0.534,-3.0,8.81,-0.34,안,0.00,6
백우,보스,std,YJ-D07,소문 표식 8,0.472,0.522,+5.0,0.534,-1.2,8.87,-0.14,안,0.00,6
백우,보스,std,YJ-D07,소문 표식 16,0.472,0.512,+4.0,0.534,-2.2,8.84,-0.25,안,0.00,6
백우,보스,std,YJ-D14,마침표 감 1,0.472,0.534,+6.2,0.534,+0.0,8.88,+0.00,안,0.00,6
백우,보스,std,YJ-D14,마침표 감 2,0.472,0.534,+6.2,0.534,+0.0,8.88,+0.00,안,0.00,6
백우,보스,std,YJ-D14,마침표 감 4,0.472,0.534,+6.2,0.534,+0.0,8.88,+0.00,안,0.00,6
적설,보스,std,YJ-D06,숨통 표식 10,0.456,0.242,-21.4,0.233,+0.9,7.29,+0.12,안,0.00,6
